G.Edad;Sexo;Porc;NCasos
g0-9;Hombre;0;0
g10-19;Hombre;0;0
g20-29;Hombre;0,2;1
g30-39;Hombre;0,9;5
g40-49;Hombre;0,9;5
g50-59;Hombre;3,6;19
g60-69;Hombre;11,8;62
g70-79;Hombre;33,4;176
g80-89;Hombre;37;195
g90 o más;Hombre;12,1;64
g0-9;Mujer;0;0
g10-19;Mujer;0;0
g20-29;Mujer;0;0
g30-39;Mujer;0,3;1
g40-49;Mujer;0;0
g50-59;Mujer;2,1;8
g60-69;Mujer;6,1;23
g70-79;Mujer;20,3;77
g80-89;Mujer;46,3;176
g90 o más;Mujer;25;95
