G.Edad;Sexo;Porc;NCasos
g0-9;Hombre;0;0
g10-19;Hombre;0;0
g20-29;Hombre;0,2;1
g30-39;Hombre;0,9;5
g40-49;Hombre;1;6
g50-59;Hombre;3,6;21
g60-69;Hombre;11,8;69
g70-79;Hombre;33,4;195
g80-89;Hombre;37,6;219
g90 o más;Hombre;11,5;67
g0-9;Mujer;0;0
g10-19;Mujer;0;0
g20-29;Mujer;0;0
g30-39;Mujer;0,2;1
g40-49;Mujer;0,2;1
g50-59;Mujer;1,9;8
g60-69;Mujer;6,2;26
g70-79;Mujer;19,7;82
g80-89;Mujer;46,4;193
g90 o más;Mujer;25,2;105
