G.Edad;Sexo;Porc;NCasos
g0-9;Hombre;0;0
g10-19;Hombre;0;0
g20-29;Hombre;0,1;1
g30-39;Hombre;0,9;6
g40-49;Hombre;0,9;6
g50-59;Hombre;3,2;22
g60-69;Hombre;12;82
g70-79;Hombre;33,7;230
g80-89;Hombre;37,5;256
g90 o más;Hombre;11,6;79
g0-9;Mujer;0;0
g10-19;Mujer;0,2;1
g20-29;Mujer;0;0
g30-39;Mujer;0,2;1
g40-49;Mujer;0,4;2
g50-59;Mujer;1,7;9
g60-69;Mujer;6,1;32
g70-79;Mujer;20,4;107
g80-89;Mujer;44,8;235
g90 o más;Mujer;26,1;137
