G.Edad;Sexo;Porc;NCasos
g0-9;Hombre;0;0
g10-19;Hombre;0;0
g20-29;Hombre;0,2;1
g30-39;Hombre;1;6
g40-49;Hombre;1;6
g50-59;Hombre;3,5;21
g60-69;Hombre;11,9;72
g70-79;Hombre;33,8;204
g80-89;Hombre;37,4;226
g90 o más;Hombre;11,3;68
g0-9;Mujer;0;0
g10-19;Mujer;0;0
g20-29;Mujer;0;0
g30-39;Mujer;0,2;1
g40-49;Mujer;0,2;1
g50-59;Mujer;1,8;8
g60-69;Mujer;6,8;30
g70-79;Mujer;21;92
g80-89;Mujer;45,4;199
g90 o más;Mujer;24,4;107
