G.Edad;Sexo;Porc;NCasos
g0-9;Hombre;0;0
g10-19;Hombre;0;0
g20-29;Hombre;0;0
g30-39;Hombre;1;5
g40-49;Hombre;1;5
g50-59;Hombre;3,5;18
g60-69;Hombre;11,8;60
g70-79;Hombre;33,9;173
g80-89;Hombre;36,7;187
g90 o más;Hombre;12,2;62
g0-9;Mujer;0;0
g10-19;Mujer;0;0
g20-29;Mujer;0;0
g30-39;Mujer;0,3;1
g40-49;Mujer;0;0
g50-59;Mujer;2,2;8
g60-69;Mujer;6;22
g70-79;Mujer;21;77
g80-89;Mujer;46,2;169
g90 o más;Mujer;24,3;89
