G.Edad;Sexo;Porc;NCasos
g0-9;Hombre;0,5;24
g10-19;Hombre;0,5;23
g20-29;Hombre;4;179
g30-39;Hombre;8,9;398
g40-49;Hombre;13,4;598
g50-59;Hombre;17,4;776
g60-69;Hombre;18,9;842
g70-79;Hombre;19,2;857
g80-89;Hombre;13,6;605
g90 o más;Hombre;3,4;151
g0-9;Mujer;0,4;19
g10-19;Mujer;0,8;36
g20-29;Mujer;5,6;264
g30-39;Mujer;10,8;514
g40-49;Mujer;15,2;725
g50-59;Mujer;17,3;824
g60-69;Mujer;14,7;697
g70-79;Mujer;14;664
g80-89;Mujer;14,6;692
g90 o más;Mujer;6,7;320
