"","Country","Region","Code","Date","Sex","Age","AgeInt","Metric","Measure","Value"
"58","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","70",10,"Count","Deaths",77
"59","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","80",10,"Count","Deaths",176
"60","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","90",15,"Count","Deaths",95
"61","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","0",10,"Count","Cases",24
"62","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","10",10,"Count","Cases",23
"63","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","20",10,"Count","Cases",179
"64","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","30",10,"Count","Cases",398
"65","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","40",10,"Count","Cases",598
"66","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","50",10,"Count","Cases",776
"67","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","60",10,"Count","Cases",842
"68","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","70",10,"Count","Cases",857
"69","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","80",10,"Count","Cases",605
"70","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","90",15,"Count","Cases",151
"71","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","0",10,"Count","Cases",19
"72","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","10",10,"Count","Cases",36
"73","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","20",10,"Count","Cases",264
"74","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","30",10,"Count","Cases",514
"75","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","40",10,"Count","Cases",725
"76","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","50",10,"Count","Cases",824
"77","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","60",10,"Count","Cases",697
"78","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","70",10,"Count","Cases",664
"79","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","80",10,"Count","Cases",692
"80","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","90",15,"Count","Cases",320
"81","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","0",10,"Count","Deaths",0
"82","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","10",10,"Count","Deaths",0
"83","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","20",10,"Count","Deaths",1
"84","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","30",10,"Count","Deaths",5
"85","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","40",10,"Count","Deaths",5
"86","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","50",10,"Count","Deaths",19
"87","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","60",10,"Count","Deaths",64
"88","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","70",10,"Count","Deaths",188
"89","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","80",10,"Count","Deaths",202
"90","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","90",15,"Count","Deaths",64
"91","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","0",10,"Count","Deaths",0
"92","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","10",10,"Count","Deaths",0
"93","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","20",10,"Count","Deaths",0
"94","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","30",10,"Count","Deaths",1
"95","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","40",10,"Count","Deaths",1
"96","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","50",10,"Count","Deaths",8
"97","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","60",10,"Count","Deaths",24
"98","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","70",10,"Count","Deaths",79
"99","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","80",10,"Count","Deaths",183
"100","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","90",15,"Count","Deaths",101
"101","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","0",10,"Count","Cases",25
"102","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","10",10,"Count","Cases",23
"103","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","20",10,"Count","Cases",181
"104","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","30",10,"Count","Cases",402
"105","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","40",10,"Count","Cases",601
"106","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","50",10,"Count","Cases",780
"107","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","60",10,"Count","Cases",849
"108","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","70",10,"Count","Cases",866
"109","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","80",10,"Count","Cases",617
"110","Spain","Valencia","ES_VC14.04.2020","14.04.2020","m","90",15,"Count","Cases",151
"111","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","0",10,"Count","Cases",19
"112","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","10",10,"Count","Cases",37
"113","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","20",10,"Count","Cases",265
"114","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","30",10,"Count","Cases",517
"115","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","40",10,"Count","Cases",732
"116","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","50",10,"Count","Cases",826
"117","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","60",10,"Count","Cases",703
"118","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","70",10,"Count","Cases",672
"119","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","80",10,"Count","Cases",714
"120","Spain","Valencia","ES_VC14.04.2020","14.04.2020","f","90",15,"Count","Cases",331
"121","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","0",10,"Count","Deaths",0
"122","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","10",10,"Count","Deaths",0
"123","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","20",10,"Count","Deaths",1
"124","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","30",10,"Count","Deaths",5
"125","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","40",10,"Count","Deaths",5
"126","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","50",10,"Count","Deaths",19
"127","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","60",10,"Count","Deaths",67
"128","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","70",10,"Count","Deaths",192
"129","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","80",10,"Count","Deaths",210
"130","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","90",15,"Count","Deaths",65
"131","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","0",10,"Count","Deaths",0
"132","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","10",10,"Count","Deaths",0
"133","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","20",10,"Count","Deaths",0
"134","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","30",10,"Count","Deaths",1
"135","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","40",10,"Count","Deaths",1
"136","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","50",10,"Count","Deaths",8
"137","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","60",10,"Count","Deaths",25
"138","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","70",10,"Count","Deaths",81
